,Year,Month,Day,00-06 UTC,06-12 UTC,12-18 UTC,18-00 UTC,Daily Sum,Month aggregate
0,2000,Jan,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2000,Jan,2,0.0,0.0,0.0,0.0,0.0,0.0
2,2000,Jan,3,0.0,0.0,0.0,0.0,0.0,0.0
3,2000,Jan,4,0.0,0.0,0.0,0.0,0.0,0.0
4,2000,Jan,5,0.0,0.0,0.0,0.0,0.0,0.0
5,2000,Jan,6,0.0,0.0,0.0,0.0,0.0,0.0
6,2000,Jan,7,0.0,0.0,0.0,0.0,0.0,0.0
7,2000,Jan,8,0.0,0.0,0.0,0.0,0.0,0.0
8,2000,Jan,9,0.0,0.0,0.0,0.0,0.0,0.0
9,2000,Jan,10,0.0,0.0,0.0,0.0,0.0,0.0
10,2000,Jan,11,0.0,0.0,0.0,0.0,0.0,0.0
11,2000,Jan,12,0.0,0.0,0.0,0.0,0.0,0.0
12,2000,Jan,13,0.0,0.0,0.0,0.0,0.0,0.0
13,2000,Jan,14,0.0,0.0,0.0,0.0,0.0,0.0
14,2000,Jan,15,0.0,0.0,0.0,0.0,0.0,0.0
15,2000,Jan,16,0.0,0.0,0.0,0.0,0.0,0.0
16,2000,Jan,17,0.0,0.0,0.0,0.0,0.0,0.0
17,2000,Jan,18,0.0,0.0,0.0,0.0,0.0,0.0
18,2000,Jan,19,0.0,0.0,0.0,0.0,0.0,0.0
19,2000,Jan,20,0.0,0.0,0.0,0.0,0.0,0.0
20,2000,Jan,21,0.0,0.0,0.0,0.0,0.0,0.0
21,2000,Jan,22,0.0,0.0,0.0,0.0,0.0,0.0
22,2000,Jan,23,0.0,0.0,0.0,0.0,0.0,0.0
23,2000,Jan,24,0.0,0.0,0.0,0.0,0.0,0.0
24,2000,Jan,25,0.0,0.0,0.0,0.0,0.0,0.0
25,2000,Jan,26,0.0,0.0,0.0,0.0,0.0,0.0
26,2000,Jan,27,0.0,0.0,0.0,0.0,0.0,0.0
27,2000,Jan,28,0.0,0.0,0.0,0.0,0.0,0.0
28,2000,Jan,29,0.0,0.0,0.0,0.0,0.0,0.0
29,2000,Jan,30,0.0,0.0,0.0,0.0,0.0,0.0
30,2000,Jan,31,0.0,0.0,0.0,0.0,0.0,0.0
0,2000,Feb,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2000,Feb,2,0.0,0.0,0.0,0.0,0.0,0.0
2,2000,Feb,3,0.0,0.0,0.0,0.0,0.0,0.0
3,2000,Feb,4,0.0,0.0,0.0,0.0,0.0,0.0
4,2000,Feb,5,0.0,0.0,0.0,0.0,0.0,0.0
5,2000,Feb,6,0.0,0.0,0.0,0.0,0.0,0.0
6,2000,Feb,7,0.0,0.0,0.0,0.0,0.0,0.0
7,2000,Feb,8,0.0,0.0,0.0,0.0,0.0,0.0
8,2000,Feb,9,0.0,0.0,0.0,0.0,0.0,0.0
9,2000,Feb,10,0.0,0.0,0.0,0.0,0.0,0.0
10,2000,Feb,11,0.0,0.0,0.0,0.0,0.0,0.0
11,2000,Feb,12,0.0,19.5,0.0,0.0,19.5,19.5
12,2000,Feb,13,0.0,0.0,0.0,0.0,0.0,19.5
13,2000,Feb,14,0.0,0.0,0.0,0.0,0.0,19.5
14,2000,Feb,15,0.0,0.0,0.0,0.0,0.0,19.5
15,2000,Feb,16,0.0,0.0,0.0,0.0,0.0,19.5
16,2000,Feb,17,0.0,0.0,0.0,0.0,0.0,19.5
17,2000,Feb,18,0.0,0.0,0.0,0.0,0.0,19.5
18,2000,Feb,19,0.0,0.0,0.0,0.0,0.0,19.5
19,2000,Feb,20,0.0,0.0,0.0,0.0,0.0,19.5
20,2000,Feb,21,0.0,0.0,0.0,0.0,0.0,19.5
21,2000,Feb,22,0.0,0.0,0.0,0.0,0.0,19.5
22,2000,Feb,23,0.0,0.0,0.0,0.0,0.0,19.5
23,2000,Feb,24,0.0,0.0,0.0,0.0,0.0,19.5
24,2000,Feb,25,0.0,0.0,0.0,0.0,0.0,19.5
25,2000,Feb,26,0.0,2.2,0.0,0.0,2.2,21.7
26,2000,Feb,27,0.0,0.0,0.0,0.0,0.0,21.7
27,2000,Feb,28,0.0,0.0,0.0,0.0,0.0,21.7
0,2000,Mar,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2000,Mar,2,0.0,0.0,0.0,0.0,0.0,0.0
2,2000,Mar,3,0.0,0.0,0.0,0.0,0.0,0.0
3,2000,Mar,4,0.0,0.0,0.0,0.0,0.0,0.0
4,2000,Mar,5,0.0,0.0,0.0,0.0,0.0,0.0
5,2000,Mar,6,0.0,0.0,0.0,0.0,0.0,0.0
6,2000,Mar,7,0.0,0.0,0.0,0.0,0.0,0.0
7,2000,Mar,8,0.0,0.0,0.0,0.0,0.0,0.0
8,2000,Mar,9,0.0,0.0,0.0,0.0,0.0,0.0
9,2000,Mar,10,0.0,0.0,0.0,0.0,0.0,0.0
10,2000,Mar,11,0.0,0.0,0.0,0.0,0.0,0.0
11,2000,Mar,12,0.0,0.0,0.0,0.0,0.0,0.0
12,2000,Mar,13,0.0,0.0,0.0,0.0,0.0,0.0
13,2000,Mar,14,0.0,0.0,0.0,0.0,0.0,0.0
14,2000,Mar,15,0.0,0.0,0.0,0.0,0.0,0.0
15,2000,Mar,16,0.0,0.0,0.0,0.0,0.0,0.0
16,2000,Mar,17,0.0,0.0,0.0,0.0,0.0,0.0
17,2000,Mar,18,0.0,0.0,0.0,0.0,0.0,0.0
18,2000,Mar,19,0.0,0.0,0.0,0.0,0.0,0.0
19,2000,Mar,20,0.0,0.0,0.0,0.0,0.0,0.0
20,2000,Mar,21,0.0,0.0,0.0,0.0,0.0,0.0
21,2000,Mar,22,0.0,0.0,0.0,0.0,0.0,0.0
22,2000,Mar,23,0.0,0.0,0.0,0.0,0.0,0.0
23,2000,Mar,24,0.0,0.0,0.0,0.0,0.0,0.0
24,2000,Mar,25,0.0,0.0,0.0,0.0,0.0,0.0
25,2000,Mar,26,0.0,0.0,0.0,0.0,0.0,0.0
26,2000,Mar,27,0.0,0.0,0.0,0.0,0.0,0.0
27,2000,Mar,28,0.0,0.0,0.0,0.0,0.0,0.0
28,2000,Mar,29,0.0,0.0,0.0,0.0,0.0,0.0
29,2000,Mar,30,0.0,0.0,0.0,0.0,0.0,0.0
30,2000,Mar,31,0.0,0.0,0.0,0.0,0.0,0.0
0,2000,Apr,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2000,Apr,2,0.0,0.0,0.0,0.0,0.0,0.0
2,2000,Apr,3,0.0,0.0,0.0,0.0,0.0,0.0
3,2000,Apr,4,0.0,0.0,0.0,0.0,0.0,0.0
4,2000,Apr,5,0.0,0.0,0.0,0.0,0.0,0.0
5,2000,Apr,6,0.0,0.0,0.0,0.0,0.0,0.0
6,2000,Apr,7,0.0,0.0,0.0,0.0,0.0,0.0
7,2000,Apr,8,0.0,0.0,0.0,0.0,0.0,0.0
8,2000,Apr,9,0.0,0.0,0.0,0.0,0.0,0.0
9,2000,Apr,10,0.0,0.0,0.0,0.0,0.0,0.0
10,2000,Apr,11,0.0,0.0,0.0,0.0,0.0,0.0
11,2000,Apr,12,0.0,0.0,0.0,0.0,0.0,0.0
12,2000,Apr,13,0.0,14.0,0.0,0.0,14.0,14.0
13,2000,Apr,14,0.0,2.8,0.0,0.0,2.8,16.8
14,2000,Apr,15,0.0,1.0,0.0,0.0,1.0,17.8
15,2000,Apr,16,0.0,2.8,0.0,0.0,2.8,20.6
16,2000,Apr,17,0.0,0.0,0.0,0.0,0.0,20.6
17,2000,Apr,18,0.0,0.0,0.0,0.0,0.0,20.6
18,2000,Apr,19,0.0,0.0,0.0,0.0,0.0,20.6
19,2000,Apr,20,0.0,0.0,0.0,0.0,0.0,20.6
20,2000,Apr,21,0.0,0.0,0.0,0.0,0.0,20.6
