,Year,Month,Day,12:00 UTC,00:00 UTC,T_min,T_min hr,T_max,T_max hr,T_med Clim,T_med Avg
0,2000,Jan,1,16.8,21.2,12.0,06:00,27.4,16:00,19.3,22.9
1,2000,Jan,2,14.2,21.0,11.8,07:00,28.4,15:45,18.8,23.8
2,2000,Jan,3,14.0,21.4,12.0,06:30,25.6,15:00,18.2,21.9
3,2000,Jan,4,16.4,24.5,12.6,05:00,30.4,15:15,21.0,25.0
4,2000,Jan,5,18.8,22.6,13.0,06:00,30.4,16:30,21.2,26.0
5,2000,Jan,6,17.2,25.2,13.6,06:00,30.6,16:15,21.7,26.0
6,2000,Jan,7,17.4,23.0,12.6,05:00,28.4,17:00,20.3,25.2
7,2000,Jan,8,15.8,24.4,12.4,06:20,28.6,17:00,20.3,24.7
8,2000,Jan,9,15.8,26.2,12.0,06:30,30.6,17:00,21.2,25.9
9,2000,Jan,10,18.0,25.2,12.0,05:50,31.8,15:50,21.8,26.9
10,2000,Jan,11,18.0,23.3,13.2,06:30,31.6,15:45,21.5,26.9
11,2000,Jan,12,16.4,23.4,12.0,06:00,30.0,16:30,20.4,25.1
12,2000,Jan,13,16.6,20.3,13.8,06:00,28.4,15:00,19.8,24.2
13,2000,Jan,14,14.6,19.8,11.8,06:15,27.0,16:15,18.3,22.5
14,2000,Jan,15,12.8,19.4,11.4,06:00,26.3,17:00,17.5,21.3
15,2000,Jan,16,12.4,22.8,10.8,07:00,27.2,16:30,18.3,21.7
16,2000,Jan,17,16.0,23.7,11.2,04:00,29.4,17:30,20.1,25.0
17,2000,Jan,18,17.0,25.6,12.6,06:00,32.8,15:50,22.0,27.3
18,2000,Jan,19,19.2,28.0,15.4,06:00,33.6,17:15,24.0,28.7
19,2000,Jan,20,18.0,26.7,15.0,07:00,32.0,16:30,22.9,27.6
20,2000,Jan,21,15.8,25.2,13.2,06:00,30.4,17:15,21.2,25.9
21,2000,Jan,22,16.6,24.2,13.6,06:00,30.0,16:00,21.1,25.9
22,2000,Jan,23,16.8,25.6,12.8,06:00,30.6,16:15,21.5,26.1
23,2000,Jan,24,15.6,24.8,12.2,07:00,30.8,,20.8,22.4
24,2000,Jan,25,25.4,26.0,11.0,07:30,31.6,17:20,23.5,28.5
25,2000,Jan,26,17.8,25.8,14.6,07:15,33.8,17:20,23.0,28.4
26,2000,Jan,27,17.4,22.6,14.6,08:00,31.8,17:30,21.6,27.2
27,2000,Jan,28,16.8,22.8,14.8,07:00,29.2,15:30,20.9,25.2
28,2000,Jan,29,15.8,23.4,13.8,06:30,27.0,16:15,20.0,23.8
29,2000,Jan,30,15.4,23.6,13.0,07:45,30.4,17:15,20.6,25.4
30,2000,Jan,31,16.8,22.8,13.4,07:00,29.6,16:30,20.6,25.6
0,2000,Feb,1,16.2,24.2,13.6,07:30,26.8,16:30,20.2,23.8
1,2000,Feb,2,14.6,24.0,14.0,08:00,28.4,17:00,20.2,24.3
2,2000,Feb,3,16.4,22.8,13.2,07:00,30.8,17:10,20.8,26.1
3,2000,Feb,4,15.8,20.4,13.2,08:15,28.6,15:30,19.5,23.7
4,2000,Feb,5,14.0,22.2,13.0,07:00,28.4,16:30,19.4,22.7
5,2000,Feb,6,16.2,25.2,13.4,07:15,31.6,17:15,21.6,26.0
6,2000,Feb,7,15.2,23.3,12.8,06:50,29.2,16:30,20.1,24.8
7,2000,Feb,8,13.6,23.1,12.2,06:00,30.6,15:15,19.9,24.4
8,2000,Feb,9,14.0,22.6,11.9,06:30,30.6,15:15,19.8,24.8
9,2000,Feb,10,15.6,25.2,11.8,06:00,31.2,17:20,21.0,25.6
10,2000,Feb,11,15.4,20.1,12.1,07:00,28.8,14:50,19.1,24.7
11,2000,Feb,12,15.8,15.2,15.8,09:00,16.6,10:25,15.9,15.3
12,2000,Feb,13,11.0,21.7,10.3,06:20,27.6,17:30,17.7,21.5
13,2000,Feb,14,14.6,25.7,10.2,06:20,31.0,17:30,20.4,25.4
14,2000,Feb,15,16.4,18.8,15.2,07:00,25.4,16:00,18.9,23.5
15,2000,Feb,16,13.8,23.8,13.6,07:30,28.8,17:05,20.0,23.6
16,2000,Feb,17,15.4,23.0,14.2,07:30,28.4,17:00,20.2,24.1
17,2000,Feb,18,14.7,22.6,13.6,07:00,30.2,16:15,20.3,24.6
18,2000,Feb,19,14.6,21.3,13.4,08:00,28.4,14:30,19.4,23.9
19,2000,Feb,20,14.2,23.0,12.8,08:00,30.3,16:30,20.1,24.6
20,2000,Feb,21,15.8,21.0,13.8,07:30,29.8,13:50,20.1,25.0
21,2000,Feb,22,13.6,21.2,13.4,07:30,26.6,15:30,18.7,21.7
22,2000,Feb,23,15.2,22.4,13.8,06:30,28.8,15:15,20.0,24.0
23,2000,Feb,24,15.2,23.0,14.4,06:00,29.6,16:45,20.5,24.3
24,2000,Feb,25,14.6,21.8,13.0,05:00,29.0,16:30,19.6,24.3
25,2000,Feb,26,13.9,14.2,12.4,06:00,19.4,12:00,15.0,17.0
